image,cow_id,station,cam,date,time,n_keypoints_detected,kp_withers_x,kp_withers_y,kp_back_x,kp_back_y,kp_hook_up_x,kp_hook_up_y,kp_hook_down_x,kp_hook_down_y,kp_hip_x,kp_hip_y,kp_tail_head_x,kp_tail_head_y,kp_pin_up_x,kp_pin_up_y,kp_pin_down_x,kp_pin_down_y,angle_withers_back_hip,angle_back_hip_tail,angle_hip_tail_pin,angle_hook_up_hip_hook_down,angle_pin_up_tail_pin_down,dist_withers_back,dist_back_hip,dist_hip_tail_head,dist_tail_head_pin_up,dist_tail_head_pin_down,dist_hook_up_hook_down,dist_pin_up_pin_down,dist_withers_tail_head,dist_withers_hip,ratio_withers_back,ratio_back_hip,ratio_hip_tail_head,ratio_tail_head_pin_up,ratio_tail_head_pin_down,ratio_hook_up_hook_down,ratio_pin_up_pin_down,ratio_withers_hip,ratio_hook_to_pin_width
20260101_040807_baia16_IPC1.jpg,,baia16,IPC1,20260101,040807,8,79.97393798828125,291.412109375,320.6809387207031,333.52197265625,726.5444946289062,103.30126953125,769.2650756835938,477.3082275390625,807.8187866210938,324.40228271484375,1011.0787353515625,271.32720947265625,1097.3836669921875,123.11668395996094,1132.876220703125,346.7681884765625,169.0044491091092,166.4382425909228,134.84706829737158,145.66554159369485,91.56113979380616,244.362641963054,487.22320511409504,210.07515359408012,171.50772897523382,143.26886874346397,376.4389096306435,226.4502524650022,931.3213982707604,728.5921185535256,0.26238272031199605,0.5231525937434179,0.2255667635084291,0.1841552543447218,0.15383397075325422,0.40419871199094093,0.24314941424675285,0.7823208184696988,1.6623470520918142
20260101_041009_baia19_IPC1.jpg,,baia19,IPC1,20260101,041009,8,115.15424346923828,217.23892211914062,454.4239807128906,217.22549438476562,901.5424194335938,17.700193405151367,900.267333984375,447.9310302734375,965.2515869140625,224.13040161132812,1120.845458984375,225.01332092285156,1176.312255859375,141.5289764404297,1167.24365234375,344.62176513671875,179.2233067780655,179.55069655461753,123.27484504882509,146.65701811114002,125.19789460845173,339.2697375093761,510.87427122632334,155.5963771183103,100.23074044040678,128.29252618245434,430.2327263647997,203.29515584528602,1005.721264685734,850.1252765454857,0.3373397276385426,0.5079680515515006,0.1547112332032979,0.09966055602068502,0.12756270617639068,0.4277852536997297,0.2021386670279974,0.8452891535619775,2.116296006050534
20260101_041615_baia22_IPC2.jpg,,baia22,IPC2,20260101,041615,8,73.96031951904297,184.4635772705078,429.2587890625,177.70433044433594,934.6653442382812,0.0,915.3988647460938,441.46270751953125,985.08642578125,195.15579223632812,1182.158203125,211.64344787597656,1217.251953125,160.3082733154297,1183.199462890625,364.4953918457031,177.11178929698488,177.0159285671147,119.57488012372765,149.7158725177809,145.25240411258258,355.36275814662963,556.1015332284456,197.76027966686385,62.184173518865066,152.85549056943927,441.8829249501479,207.00712901940875,1108.5311428168593,911.1888415544857,0.3205708386718182,0.5016562113134239,0.17839848789844587,0.05609600950032897,0.13789011843277782,0.3986202172248322,0.18674002111784463,0.821978568179048,2.134626604616682
20260101_041704_baia20_VIPWX.jpg,,baia20,VIPWX,20260101,041704,8,91.21034240722656,302.6570739746094,342.17974853515625,333.0096740722656,728.5121459960938,58.87607955932617,767.5592041015625,498.0,804.7167358398438,306.2681884765625,1022.2686157226562,262.7362060546875,1108.2447509765625,109.9622802734375,1109.9564208984375,326.6369323730469,169.79519708513277,171.99345699255386,130.68478037788597,151.91158251810958,96.71256630224843,252.79818659336533,463.30936929524944,221.86449453241525,175.3047866768414,108.50094009067219,440.8565415754643,216.68141285400603,931.9137213307835,713.5155314477513,0.2712678017363739,0.4971590810291304,0.23807407215293516,0.1881126789575586,0.11642809587107657,0.4730658337618595,0.23251231084416538,0.7656454831771797,2.0345840271611175
20260101_042615_baia16_IPC1.jpg,,baia16,IPC1,20260101,042615,8,99.12168884277344,328.4488830566406,453.0081787109375,344.5499572753906,909.2019653320312,91.4063491821289,933.9937133789062,549.4108276367188,994.4599609375,336.0726013183594,1157.1373291015625,317.82135009765625,1240.634765625,177.0150146484375,1238.465576171875,409.6464538574219,176.49797141362845,174.49557793636743,127.06913641626774,144.96399536395035,107.80140011325575,354.252582633081,541.518141930945,163.69799718966374,163.7016982459968,122.6626815784716,458.67497539726384,232.6415523747358,1058.0690145207966,895.3707291159928,0.3348104686663783,0.5117985069964464,0.15471391274396518,0.15471741067867667,0.11593070007255245,0.43350194467702036,0.21987370311576512,0.8462309327917609,1.9715952318717187
20260101_044213_baia19_IPC2.jpg,,baia19,IPC2,20260101,044213,8,129.79298400878906,315.14453125,407.23516845703125,306.94140625,759.4408569335938,80.34874725341797,798.0851440429688,498.22845458984375,847.4774169921875,302.4410095214844,1045.4151611328125,295.6952209472656,1116.86279296875,168.588623046875,1122.5291748046875,374.1527404785156,178.89211909992605,178.63378331010585,121.29259289993098,144.21794991802292,106.15410254741741,277.5634287350876,440.2652506909946,198.05266021684128,145.81101235769285,110.00978808989044,419.6627583307443,205.64219960543113,915.828721384402,717.7968548349937,0.30307351391591214,0.48072880923135136,0.21625513110951275,0.15921209823740765,0.12012048270728548,0.4582327989193939,0.22454220402104713,0.7837675736462428,2.0407424115087163
20260101_044308_baia23_VIPWX.jpg,,baia23,VIPWX,20260101,044308,8,53.43110656738281,339.9605407714844,330.32452392578125,385.3273010253906,785.6920776367188,131.43795776367188,837.4662475585938,541.8477783203125,885.270751953125,377.15228271484375,1110.44873046875,327.6412658691406,1197.1947021484375,158.02587890625,1227.18115234375,406.3020935058594,169.85124519780877,168.44338481347336,129.48704012870604,141.75326234356564,96.88784026897889,280.58529454044384,555.0064386348633,230.55685372046256,190.51048028185818,140.7621544354041,413.66264694849247,250.08051889586932,1057.0894104910008,832.6706559644448,0.26543194147609195,0.5250326350134109,0.21810534797938488,0.18022172806874412,0.13316012159276328,0.39132228820299403,0.2365746136646199,0.7877012556371016,1.6541178368265337
20260101_044514_baia14_IPC3.jpg,,baia14,IPC3,20260101,044514,8,138.15753173828125,272.57110595703125,503.9486389160156,280.9934997558594,982.513671875,36.227325439453125,1002.69287109375,499.8575439453125,1065.0118408203125,272.1627197265625,1227.271240234375,266.0730895996094,1311.357666015625,128.2996063232422,1313.55322265625,365.3713073730469,177.77926446460145,178.75241070383112,123.54602139151365,145.42037184065805,107.61533737971442,365.88805775484843,561.1326930477564,162.3736317672773,161.4065044995681,131.54739276637056,464.0691538907762,237.0818675217701,1089.1330929921721,926.8543990526466,0.33594430295901234,0.5152103968360361,0.14908520621771643,0.14819722726093693,0.12078174248196867,0.4260903987554362,0.21767942691965753,0.8510019620341369,1.9574215385668958
20260101_050310_baia21_IPC2.jpg,,baia21,IPC2,20260101,050310,8,176.5321807861328,210.59683227539062,583.2075805664062,223.19027709960938,1093.696044921875,2.875884771347046,1049.6241455078125,497.41412353515625,1119.1541748046875,234.4973602294922,1312.1087646484375,250.06692504882812,1343.3408203125,216.95828247070312,1288.9915771484375,410.7174987792969,179.4349116452744,176.59539387719175,128.71614248900963,158.91452396793787,144.85913814103176,406.8703425404534,536.0658560331174,193.58172716047685,45.51509106185695,162.3053024329117,496.49813888631405,201.23735770732733,1136.2623227230258,942.924948680435,0.358077826223612,0.47178001532995323,0.17036710915183986,0.040056851443231095,0.1428414013094713,0.43695731958837464,0.1771046647265983,0.829847940764891,2.4672264858913713
20260101_050711_baia21_IPC2.jpg,,baia21,IPC2,20260101,050711,8,156.77976989746094,218.94772338867188,515.680419921875,197.0593719482422,991.7305908203125,13.538270950317383,983.8908081054688,448.87127685546875,1049.194580078125,217.7657470703125,1247.6998291015625,228.48519897460938,1305.1173095703125,153.03369140625,1324.446533203125,376.39166259765625,174.28740474386217,179.1315893439711,124.17957927330941,148.5060947603936,115.30520174879591,359.56748534416556,533.9158295629796,198.79446807943492,94.81401298182395,166.63246553996757,435.40359234098025,224.1927790563031,1090.9617495652324,892.4155929261925,0.32958761889448424,0.48939922025291405,0.18221946659326788,0.08690865011501,0.15273905396442503,0.3991006948818291,0.20550012788775399,0.8180081412403651,1.9420946302272935
